[14:54:49][DEBUG][PID:  493] PRACOWNIK2: Turysta #40 -> wyjście 0
[14:54:49][DEBUG][PID:  493] PRACOWNIK2: Turysta #48 -> wyjście 0
[14:54:49][DEBUG][PID:  493] PRACOWNIK2: Turysta #49 -> wyjście 1
[14:54:50][INFO ][PID:  493] PRACOWNIK2: Krzesełko #29 - 3 pasażerów
[14:54:50][DEBUG][PID:  493] PRACOWNIK2: Turysta #32 -> wyjście 0
[14:54:50][DEBUG][PID:  493] PRACOWNIK2: Turysta #42 -> wyjście 0
[14:54:50][DEBUG][PID:  493] PRACOWNIK2: Turysta #50 -> wyjście 0
[14:54:53][INFO ][PID:  493] PRACOWNIK2: Krzesełko #30 - 3 pasażerów
[14:54:53][DEBUG][PID:  493] PRACOWNIK2: Turysta #51 -> wyjście 1
[14:54:53][DEBUG][PID:  493] PRACOWNIK2: Turysta #52 -> wyjście 1
[14:54:53][DEBUG][PID:  493] PRACOWNIK2: Turysta #53 -> wyjście 1
[14:54:54][INFO ][PID:  493] PRACOWNIK2: Krzesełko #31 - 3 pasażerów
[14:54:54][DEBUG][PID:  493] PRACOWNIK2: Turysta #54 -> wyjście 1
[14:54:54][DEBUG][PID:  493] PRACOWNIK2: Turysta #55 -> wyjście 0
[14:54:54][DEBUG][PID:  493] PRACOWNIK2: Turysta #40 -> wyjście 1
[14:54:55][INFO ][PID:  493] PRACOWNIK2: Krzesełko #32 - 2 pasażerów
[14:54:55][DEBUG][PID:  493] PRACOWNIK2: Turysta #56 -> wyjście 0
[14:54:55][DEBUG][PID:  493] PRACOWNIK2: Turysta #50 -> wyjście 1
[14:54:59][INFO ][PID:  493] PRACOWNIK2: Kończę pracę. Zjazdów: 33
